symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
UNIUSD,-0.262,-4.085,6.06684551,6.313,6.151,65.68,6.136,23.12,6.153,99.44,6.413,6.413,5.91,419.91,2547.5291,2025-05-30 17:35:44.369,2025-05-31 17:35:44.369,3113551,3113572,22
SOLUSD,-2.69,-1.695,156.38119248,157.48,156.04,2.178,156.17,22.381,156.73,11.566,158.73,161.02,152.5,245.648,38414.72717,2025-05-30 17:34:07.871,2025-05-31 17:34:07.871,24058561,24058650,90
EGLDUSD,0.0,0.0,0.0,32.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
PAXGUSD,0.0,0.0,0.0,1846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
OXTUSD,0.0,0.0,0.0,0.0498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
ZENUSD,0.0,0.0,0.0,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
FILUSD,-0.008,-0.313,2.49809031,2.549,2.552,1.0,2.558,977.22,2.565,51.69,2.56,2.56,2.482,115.16,287.68008,2025-05-30 17:35:39.376,2025-05-31 17:35:39.376,1030789,1030796,8
AAVEUSD,-2.06,-0.823,249.67195936,240.75,248.1,0.604,250.64,1.917,251.54,6.275,250.16,250.91,245.98,3.986,995.19243,2025-05-30 17:35:47.088,2025-05-31 17:35:47.088,1051691,1051696,6
GRTUSD,-0.0013,-1.347,0.09219538,0.095,0.0952,16.0,0.0947,20600.0,0.0952,1894.0,0.0965,0.0965,0.0894,59433.0,5479.4479,2025-05-30 17:35:53.983,2025-05-31 17:35:53.983,1720636,1720710,75
SUSHIUSD,-0.038,-5.663,0.6591193,0.671,0.633,31.4,0.645,1903.5,0.648,252.5,0.671,0.671,0.62,1028.5,677.9042,2025-05-30 17:35:53.239,2025-05-31 17:35:53.239,3074573,3074584,12
ANKRUSD,0.0,0.0,0.0,0.02303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
CRVUSD,-0.0202,-2.919,0.64860942,0.6787,0.6717,279.3,0.6646,1431.0,0.6667,2508.8,0.6919,0.6919,0.6448,7580.8,4916.97832,2025-05-30 17:33:51.977,2025-05-31 17:33:51.977,2092795,2092828,34
AXSUSD,0.0,0.0,0.0,5.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
AVAXUSD,0.22,1.064,20.40525359,20.98,20.9,21.78,20.81,5.38,21.72,2.3,20.68,21.32,20.0,444.42,9068.5028,2025-05-30 17:35:49.819,2025-05-31 17:35:49.819,4279164,4279219,56
CTSIUSD,0.0,0.0,0.0,0.1442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
DOTUSD,0.058,1.436,4.0344079,4.185,4.097,92.35,4.081,27.15,4.092,299.18,4.039,4.102,3.982,1910.25,7706.72769,2025-05-30 17:35:37.686,2025-05-31 17:35:37.686,1420332,1420355,24
YFIUSD,0.0,0.0,0.0,6235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
1INCHUSD,0.0,0.0,0.0,0.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
FTMUSD,0.0,0.0,0.0,0.2948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
NEARUSD,-0.056,-2.236,2.42639256,2.5,2.449,1.2,2.428,241.5,2.439,215.3,2.505,2.505,2.378,228.5,554.4307,2025-05-30 17:35:38.856,2025-05-31 17:35:38.856,1070000,1070031,32
LRCUSD,0.0,0.0,0.0,0.2241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
KSHIBUSD,0.0,0.0,0.0,0.0135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
LPTUSD,-2.385,-21.486,11.60728836,11.08,8.715,0.33,8.723,145.21,8.748,6.84,11.1,13.4,8.715,2554.82,29654.53244,2025-05-30 17:35:57.973,2025-05-31 17:35:57.973,112400,113396,997
NMRUSD,0.0,0.0,0.0,12.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
SLPUSD,0.0,0.0,0.0,0.00173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
ANTUSD,0.0,0.0,0.0,3.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
XNOUSD,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
CHZUSD,0.0,0.0,0.0,0.0738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
OGNUSD,0.0,0.0,0.0,0.0783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
GALAUSD,-0.00062,-3.605,0.01624616,0.01686,0.01658,2173.0,0.01652,7271.0,0.01659,81740.0,0.0172,0.0172,0.01587,145671.0,2366.5945,2025-05-30 17:35:44.263,2025-05-31 17:35:44.263,1086627,1086648,22
TLMUSD,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
SNXUSD,0.0,0.0,0.0,2.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
AUDIOUSD,0.0,0.0,0.0,0.1893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
REQUSD,0.0,0.0,0.0,0.0802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
APEUSD,0.0,0.0,0.0,2.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
FLUXUSD,0.0,0.0,0.0,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
TRXUSD,0.0,0.0,0.0,0.06689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
COTIUSD,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
VOXELUSD,0.0,0.0,0.0,0.1457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
RLCUSD,0.0,0.0,0.0,1.311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
BICOUSD,0.0,0.0,0.0,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
API3USD,0.0,0.0,0.0,1.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
ENSUSD,-0.83,-3.828,20.95831781,21.51,20.85,0.22,20.86,56.8,20.92,6.03,21.68,21.68,20.07,18.25,382.4893,2025-05-30 17:35:35.763,2025-05-31 17:35:35.763,185721,185738,18
